ds_in_pkts 1138259701:10
ds_out_pkts 1138259701:11
ds_in_bits 1138259701:836
ds_out_bits 1138259701:1153
ds_in_pkts 1138259881:18
ds_out_pkts 1138259881:11
ds_in_bits 1138259881:20200
ds_out_bits 1138259881:1457
ds_in_pkts 1138260601:10
ds_out_pkts 1138260601:10
ds_in_bits 1138260601:836
ds_out_bits 1138260601:912
ds_in_pkts 1138260781:15
ds_out_pkts 1138260781:15
ds_in_bits 1138260781:1031
ds_out_bits 1138260781:4282
ds_in_pkts 1138261081:120
ds_out_pkts 1138261081:86
ds_in_bits 1138261081:144105
ds_out_bits 1138261081:8796
ds_in_pkts 1138261561:10 1138261621:15 1138261741:17
ds_out_pkts 1138261561:10 1138261621:17 1138261741:18
ds_in_bits 1138261561:836 1138261621:1063 1138261741:1218
ds_out_bits 1138261561:912 1138261621:1794 1138261741:3452
ds_in_pkts 1138262041:39 1138261981:20
ds_out_pkts 1138262041:28 1138261981:14
ds_in_bits 1138262041:37509 1138261981:22745
ds_out_bits 1138262041:3116 1138261981:1299
ds_in_pkts 1138262641:15 1138262461:10
ds_out_pkts 1138262641:18 1138262461:10
ds_in_bits 1138262641:1031 1138262461:836
ds_out_bits 1138262641:7743 1138262461:912
ds_in_pkts 1138263241:19
ds_out_pkts 1138263241:18
ds_in_bits 1138263241:1271
ds_out_bits 1138263241:3026
ds_in_pkts 1138263601:6 1138263421:10 1138263541:18
ds_out_pkts 1138263601:7 1138263421:10 1138263541:12
ds_in_bits 1138263601:674 1138263421:836 1138263541:21648
ds_out_bits 1138263601:686 1138263421:912 1138263541:1509
ds_in_pkts 1138263721:9
ds_out_pkts 1138263721:9
ds_in_bits 1138263721:685
ds_out_bits 1138263721:7564
ds_in_pkts 1138263961:16 1138264141:11 1138264201:39
ds_out_pkts 1138263961:14 1138264141:13 1138264201:37
ds_in_bits 1138263961:1083 1138264141:823 1138264201:22981
ds_out_bits 1138263961:3320 1138264141:1482 1138264201:4139
ds_in_pkts 1138264321:58 1138264381:8
ds_out_pkts 1138264321:60 1138264381:9
ds_in_bits 1138264321:30645 1138264381:3550
ds_out_bits 1138264321:6650 1138264381:1110
ds_in_pkts 1138264681:32 1138264801:52 1138264621:32 1138264741:28
ds_out_pkts 1138264681:29 1138264801:47 1138264621:28 1138264741:24
ds_in_bits 1138264681:25328 1138264801:35229 1138264621:25688 1138264741:18072
ds_out_bits 1138264681:5036 1138264801:10024 1138264621:4937 1138264741:4818
ds_in_pkts 1138264921:9 1138265101:9 1138264861:8 1138265041:23
ds_out_pkts 1138264921:7 1138265101:7 1138264861:9 1138265041:22
ds_in_bits 1138264921:8548 1138265101:5870 1138264861:870 1138265041:17648
ds_out_bits 1138264921:894 1138265101:736 1138264861:3257 1138265041:2476
ds_in_pkts 1138265281:73 1138265401:43 1138265221:113 1138265341:91
ds_out_pkts 1138265281:58 1138265401:34 1138265221:84 1138265341:72
ds_in_bits 1138265281:62741 1138265401:33995 1138265221:108641 1138265341:70001
ds_out_bits 1138265281:5675 1138265401:6548 1138265221:8790 1138265341:12301
ds_in_pkts 1138265521:510 1138265461:15 1138265641:56
ds_out_pkts 1138265521:308 1138265461:15 1138265641:62
ds_in_bits 1138265521:728358 1138265461:1802 1138265641:7475
ds_out_bits 1138265521:16090 1138265461:2002 1138265641:11864
ds_in_pkts 1138265761:120 1138265821:271 1138265941:29 1138265881:105
ds_out_pkts 1138265761:111 1138265821:213 1138265941:31 1138265881:96
ds_in_bits 1138265761:64888 1138265821:113398 1138265941:11383 1138265881:80536
ds_out_bits 1138265761:29832 1138265821:111000 1138265941:3233 1138265881:13306
ds_in_pkts 1138266121:16 1138266181:10
ds_out_pkts 1138266121:20 1138266181:10
ds_in_bits 1138266121:1824 1138266181:836
ds_out_bits 1138266121:6577 1138266181:912
ds_in_pkts 1138266601:122 1138266421:13 1138266541:248
ds_out_pkts 1138266601:96 1138266421:14 1138266541:168
ds_in_bits 1138266601:53439 1138266421:2242 1138266541:272617
ds_out_bits 1138266601:55888 1138266421:1617 1138266541:26037
ds_in_pkts 1138266721:282 1138266841:7 1138266901:17 1138266661:238 1138266781:7
ds_out_pkts 1138266721:204 1138266841:8 1138266901:20 1138266661:184 1138266781:8
ds_in_bits 1138266721:305460 1138266841:1018 1138266901:2206 1138266661:242577 1138266781:1018
ds_out_bits 1138266721:24583 1138266841:4552 1138266901:8753 1138266661:19614 1138266781:4552
ds_in_pkts 1138266961:100 1138267141:35 1138267021:7 1138267201:7 1138267081:7
ds_out_pkts 1138266961:81 1138267141:29 1138267021:8 1138267201:8 1138267081:8
ds_in_bits 1138266961:83283 1138267141:22054 1138267021:1018 1138267201:1018 1138267081:1018
ds_out_bits 1138266961:12199 1138267141:6920 1138267021:4551 1138267201:4552 1138267081:4551
ds_in_pkts 1138267321:27 1138267501:7 1138267441:66 1138267261:7 1138267381:7
ds_out_pkts 1138267321:24 1138267501:8 1138267441:51 1138267261:8 1138267381:8
ds_in_bits 1138267321:18757 1138267501:1018 1138267441:51519 1138267261:1018 1138267381:1018
ds_out_bits 1138267321:6434 1138267501:4552 1138267441:11925 1138267261:4551 1138267381:4552
ds_in_pkts 1138267801:4 1138267561:7 1138267621:4 1138267741:4 1138267681:4
ds_out_pkts 1138267801:6 1138267561:8 1138267621:6 1138267741:6 1138267681:6
ds_in_bits 1138267801:898 1138267561:1018 1138267621:898 1138267741:898 1138267681:898
ds_out_bits 1138267801:1159 1138267561:4553 1138267621:1159 1138267741:1159 1138267681:1161
ds_in_pkts 1138268041:14 1138267921:4 1138268101:4 1138267861:4 1138267981:4
ds_out_pkts 1138268041:16 1138267921:6 1138268101:6 1138267861:6 1138267981:6
ds_in_bits 1138268041:1734 1138267921:898 1138268101:898 1138267861:898 1138267981:898
ds_out_bits 1138268041:2072 1138267921:1159 1138268101:1160 1138267861:1159 1138267981:1159
ds_in_pkts 1138268161:4 1138268401:4 1138268341:4 1138268221:4 1138268281:4
ds_out_pkts 1138268161:6 1138268401:6 1138268341:6 1138268221:6 1138268281:6
ds_in_bits 1138268161:898 1138268401:898 1138268341:898 1138268221:898 1138268281:898
ds_out_bits 1138268161:1160 1138268401:1141 1138268341:1158 1138268221:1159 1138268281:1159
ds_in_pkts 1138268521:82 1138268641:4 1138268701:4 1138268461:37 1138268581:4
ds_out_pkts 1138268521:59 1138268641:6 1138268701:6 1138268461:36 1138268581:6
ds_in_bits 1138268521:88080 1138268641:898 1138268701:898 1138268461:22647 1138268581:898
ds_out_bits 1138268521:5327 1138268641:1142 1138268701:1140 1138268461:3975 1138268581:1142
ds_in_pkts 1138268761:4 1138268941:4 1138268821:4 1138269001:14 1138268881:4
ds_out_pkts 1138268761:6 1138268941:6 1138268821:6 1138269001:16 1138268881:6
ds_in_bits 1138268761:898 1138268941:898 1138268821:898 1138269001:1734 1138268881:898
ds_out_bits 1138268761:1142 1138268941:1142 1138268821:1141 1138269001:2053 1138268881:1143
ds_in_pkts 1138269121:4 1138269241:4 1138269301:22 1138269061:4 1138269181:4
ds_out_pkts 1138269121:6 1138269241:6 1138269301:20 1138269061:6 1138269181:6
ds_in_bits 1138269121:898 1138269241:898 1138269301:20474 1138269061:898 1138269181:898
ds_out_bits 1138269121:1141 1138269241:1141 1138269301:2272 1138269061:1141 1138269181:1142
ds_in_pkts 1138269361:4 1138269541:210 1138269421:4 1138269601:39 1138269481:4
ds_out_pkts 1138269361:6 1138269541:196 1138269421:6 1138269601:42 1138269481:6
ds_in_bits 1138269361:898 1138269541:229920 1138269421:898 1138269601:17682 1138269481:898
ds_out_bits 1138269361:1141 1138269541:17003 1138269421:1141 1138269601:5495 1138269481:1142
ds_in_pkts 1138269841:4 1138269721:50 1138269661:4 1138269902:658 1138269781:28
ds_out_pkts 1138269841:6 1138269721:35 1138269661:6 1138269902:467 1138269781:21
ds_in_bits 1138269841:898 1138269721:63222 1138269661:898 1138269902:939582 1138269781:32534
ds_out_bits 1138269841:1141 1138269721:4029 1138269661:1141 1138269902:27147 1138269781:2291
ds_in_pkts 1138270201:4 1138269961:4 1138270141:4 1138270021:4 1138270081:4
